Initialize space saving, #entries: 632, qsketch eps: 0.0125, #samples: 101192
estQuantile: 0.94217, Error percentile: 0.0421697, traceSize: 200000
estQuantile: 0.898, Error percentile: 0.00199956, traceSize: 60000000
estQuantile: 0.9, Error percentile: 0, traceSize: 60000000
estQuantile: 0.904089, Error percentile: 0.0040886, traceSize: 60000000
estQuantile: 0.899391, Error percentile: 0.000608609, traceSize: 60000000
estQuantile: 0.900238, Error percentile: 0.000238265, traceSize: 60000000
estQuantile: 0.898109, Error percentile: 0.00189149, traceSize: 70000000
estQuantile: 0.904422, Error percentile: 0.00442157, traceSize: 70000000
estQuantile: 0.900553, Error percentile: 0.000553249, traceSize: 70000000
estQuantile: 0.9, Error percentile: 0, traceSize: 70000000
estQuantile: 0.90563, Error percentile: 0.00563015, traceSize: 70000000
estQuantile: 0.899635, Error percentile: 0.000365178, traceSize: 70000000
estQuantile: 0.89994, Error percentile: 6.03743e-05, traceSize: 70000000
